Accuracy,max_depth,min_samples_split,min_samples_leaf,Time(s),10
80.28%,5,2,1,154.66 ,seconds
81.87%,5,2,3,170.38 ,seconds
82.23%,5,2,5,135.40 ,seconds
82.26%,5,2,10,104.52 ,seconds
81.10%,5,5,1,135.96 ,seconds
83.00%,5,20,5,69.99 ,seconds
78.37%,10,2,1,277.51 ,seconds
Tree,,,,,
81.03%,"max_depth=10,","min_samples_split=2,",min_samples_leaf=3,231.1048234,seconds
Tree,,,,,
81.92%,"max_depth=10,","min_samples_split=2,",min_samples_leaf=5,182.4845743,seconds
Tree,,,,,
82.24%,"max_depth=10,","min_samples_split=2,",min_samples_leaf=10,127.491889,seconds
Tree,,,,,
80.10%,"max_depth=10,","min_samples_split=5,",min_samples_leaf=1,182.8489561,seconds
Tree,,,,,
81.71%,"max_depth=10,","min_samples_split=5,",min_samples_leaf=3,181.0812874,seconds
Tree,,,,,
81.92%,"max_depth=10,","min_samples_split=5,",min_samples_leaf=5,181.9937654,seconds
Tree,,,,,
82.24%,"max_depth=10,","min_samples_split=5,",min_samples_leaf=10,126.7813501,seconds
Tree,,,,,
81.06%,"max_depth=10,","min_samples_split=10,",min_samples_leaf=1,126.4658513,seconds
Tree,,,,,
82.16%,"max_depth=10,","min_samples_split=10,",min_samples_leaf=3,126.2638826,seconds
Tree,,,,,
82.37%,"max_depth=10,","min_samples_split=10,",min_samples_leaf=5,126.6385739,seconds
Tree,,,,,
82.24%,"max_depth=10,","min_samples_split=10,",min_samples_leaf=10,127.1371222,seconds
Tree,,,,,
81.89%,"max_depth=10,","min_samples_split=20,",min_samples_leaf=1,91.3267014,seconds
Tree,,,,,
82.76%,"max_depth=10,","min_samples_split=20,",min_samples_leaf=3,92.16112971,seconds
Tree,,,,,
82.88%,"max_depth=10,","min_samples_split=20,",min_samples_leaf=5,91.2231853,seconds
Tree,,,,,
82.66%,"max_depth=10,","min_samples_split=20,",min_samples_leaf=10,91.53296876,seconds
Tree,,,,,
78.37%,"max_depth=15,","min_samples_split=2,",min_samples_leaf=1,272.0530174,seconds
Tree,,,,,
81.03%,"max_depth=15,","min_samples_split=2,",min_samples_leaf=3,223.3991251,seconds
Tree,,,,,
81.92%,"max_depth=15,","min_samples_split=2,",min_samples_leaf=5,175.3676269,seconds
Tree,,,,,
82.24%,"max_depth=15,","min_samples_split=2,",min_samples_leaf=10,121.777107,seconds
Tree,,,,,
80.10%,"max_depth=15,","min_samples_split=5,",min_samples_leaf=1,176.0478976,seconds
Tree,,,,,
81.71%,"max_depth=15,","min_samples_split=5,",min_samples_leaf=3,175.8714654,seconds
Tree,,,,,
81.92%,"max_depth=15,","min_samples_split=5,",min_samples_leaf=5,175.6005113,seconds
Tree,,,,,
82.24%,"max_depth=15,","min_samples_split=5,",min_samples_leaf=10,122.1684985,seconds
Tree,,,,,
81.06%,"max_depth=15,","min_samples_split=10,",min_samples_leaf=1,122.5512412,seconds
Tree,,,,,
82.16%,"max_depth=15,","min_samples_split=10,",min_samples_leaf=3,122.5372536,seconds
Tree,,,,,
82.37%,"max_depth=15,","min_samples_split=10,",min_samples_leaf=5,122.4269786,seconds
Tree,,,,,
82.24%,"max_depth=15,","min_samples_split=10,",min_samples_leaf=10,122.5655854,seconds
Tree,,,,,
81.89%,"max_depth=15,","min_samples_split=20,",min_samples_leaf=1,88.21663404,seconds
Tree,,,,,
82.76%,"max_depth=15,","min_samples_split=20,",min_samples_leaf=3,88.30078316,seconds
Tree,,,,,
82.88%,"max_depth=15,","min_samples_split=20,",min_samples_leaf=5,88.42629647,seconds
Tree,,,,,
82.66%,"max_depth=15,","min_samples_split=20,",min_samples_leaf=10,88.13567805,seconds
82.66%,,,,,
